Feature,IC_Original,Abs_IC_Original
個股主力買賣超統計_近240日主力買賣超,0.03342792429913594,0.03342792429913594
買超第12名分點前11天賣金額(千),0.03342572016980959,0.03342572016980959
買超第4名分點前19天買均張,0.03340643554205693,0.03340643554205693
買超第10名分點前7天賣均值(千),0.03340303625085412,0.03340303625085412
賣超第3名分點前2天賣均價,0.03339403733317794,0.03339403733317794
買超第3名分點前10天賣均價,0.033388880628601,0.033388880628601
賣超第2名分點前11天買均張,0.033388872635161757,0.033388872635161757
賣超第4名分點前16天賣均張,0.03338373304148033,0.03338373304148033
賣超第9名分點前4天買金額(千),0.03337337788593192,0.03337337788593192
買超第12名分點前4天賣均價,0.03336957829009158,0.03336957829009158
賣超第14名分點前4天賣均價,0.033368499362999085,0.033368499362999085
買超第2名分點前14天賣均張,0.03336558029057535,0.03336558029057535
買超第9名分點前10天賣均張,0.03335873671979966,0.03335873671979966
買超第5名分點前19天買均張,0.03335406962665727,0.03335406962665727
賣超第5名分點前20天賣均張,0.033353989297524596,0.033353989297524596
賣超第1名分點前7天賣均張,0.03334685101397908,0.03334685101397908
買超第4名分點前14天賣張,0.03334592529411691,0.03334592529411691
買超第13名分點前10天賣均張,0.033345355860916685,0.033345355860916685
買超第12名分點前9天賣金額(千),0.033343402781054424,0.033343402781054424
買超第14名分點前7天賣均值(千),0.03334127978846028,0.03334127978846028
賣超第5名分點前4天買均價,0.033338035499002105,0.033338035499002105
買超第6名分點前16天買均張,0.03333192912187862,0.03333192912187862
買超第10名分點前6天賣均價,0.03332730662911194,0.03332730662911194
買超第13名分點前6天賣金額(千),0.03332320756970166,0.03332320756970166
賣超第7名分點前3天買均價,0.03332253473849544,0.03332253473849544
買超第8名分點前7天賣均張,0.03332039789941275,0.03332039789941275
買超第15名分點前8天賣金額(千),0.03330443436692737,0.03330443436692737
賣超第3名分點前18天買張,0.033302117013908596,0.033302117013908596
賣超第2名分點前10天買張,0.033301668983423086,0.033301668983423086
賣超第6名分點前14天買金額(千),0.033298260780728006,0.033298260780728006
買超第1名分點前19天賣金額(千),0.03329508898779842,0.03329508898779842
買超第1名分點前8天賣均張,0.03329479573675706,0.03329479573675706
賣超第6名分點前3天賣均價,0.03328777234718218,0.03328777234718218
賣超第4名分點前9天買張,0.033287048332765065,0.033287048332765065
買超第14名分點前19天買均張,0.0332814236494147,0.0332814236494147
買超第9名分點前20天買均張,0.033266221564398776,0.033266221564398776
賣超第7名分點前9天買金額(千),0.033258952618475,0.033258952618475
買超第2名分點前2天買均價,0.0332416199586702,0.0332416199586702
買超第4名分點前17天賣均值(千),0.03323781317785449,0.03323781317785449
賣超第2名分點前15天買金額(千),0.03322809361657971,0.03322809361657971
買超第3名分點前2天買均價,0.033226010112309745,0.033226010112309745
賣超第7名分點前7天買均值(千),0.03320919142994825,0.03320919142994825
賣超第8名分點前17天賣均張,0.03320149454876782,0.03320149454876782
買超第3名分點前18天賣金額(千),0.033199231275338144,0.033199231275338144
買超第10名分點前7天賣均張,0.033197693090149416,0.033197693090149416
賣超第9名分點前19天賣均張,0.0331974105028417,0.0331974105028417
買超第4名分點前20天賣均張,0.03319421135374869,0.03319421135374869
買超第11名分點前5天賣金額(千),0.03319242808696394,0.03319242808696394
買超第7名分點前10天賣均價,0.03319124145162791,0.03319124145162791
買超第6名分點前17天賣均價,0.03318183699687592,0.03318183699687592
賣超第9名分點前8天買金額(千),0.033177950531060534,0.033177950531060534
買超第8名分點前9天賣均張,0.03317711278733924,0.03317711278733924
季IFRS財報_稅前權益報酬率累季(%),0.03317494221315043,0.03317494221315043
買超第4名分點前14天賣均值(千),0.033165212644056384,0.033165212644056384
買超第13名分點前3天買均價,0.03315514229728224,0.03315514229728224
賣超第7名分點前8天買金額(千),0.033154335489212754,0.033154335489212754
買超第4名分點前2天買均價,0.03315245427720496,0.03315245427720496
賣超第4名分點前8天買均價,0.03314984554927737,0.03314984554927737
買超第3名分點前13天賣均價,0.033146700141612445,0.033146700141612445
買超第7名分點前14天賣張,0.03314274935950974,0.03314274935950974
買超第2名分點前13天賣金額(千),0.033137068534591446,0.033137068534591446
買超第4名分點前17天賣張,0.03313498333629541,0.03313498333629541
買超第11名分點前6天賣金額(千),0.033128663687006586,0.033128663687006586
賣超第1名分點前7天買均張,0.03312169383894808,0.03312169383894808
買超第12名分點前8天賣金額(千),0.03311268281410953,0.03311268281410953
買超第9名分點前7天賣均張,0.03309999386788803,0.03309999386788803
賣超第8名分點前5天買金額(千),0.033095389541073286,0.033095389541073286
賣超第2名分點前14天賣均張,0.03309438431569655,0.03309438431569655
賣超第6名分點前14天買張,0.03309105613508484,0.03309105613508484
買超第13名分點前7天賣金額(千),0.03308341591365182,0.03308341591365182
賣超第6名分點前5天買金額(千),0.03307928113908435,0.03307928113908435
賣超第15名分點前4天賣均價,0.03307816258383192,0.03307816258383192
賣超第10名分點前3天買均值(千),0.03307609596587105,0.03307609596587105
賣超第11名分點前4天賣均價,0.033063359934651905,0.033063359934651905
買超第1名分點前19天賣張,0.033062394811130345,0.033062394811130345
買超第5名分點前17天買均張,0.03306156968368843,0.03306156968368843
買超第2名分點前18天賣金額(千),0.03305964734873251,0.03305964734873251
買超第5名分點前6天賣均價,0.033053755068288,0.033053755068288
賣超第6名分點前9天買均張,0.03305186469586898,0.03305186469586898
買超第2名分點前11天賣均張,0.03305137568578284,0.03305137568578284
季IFRS財報_營業利益率(減利息費用)(%),0.033048038107868535,0.033048038107868535
買超第9名分點前14天賣張,0.03304641490535783,0.03304641490535783
